county,name,start,contained,acres
INYO,WINTERTON,3/9/11,3/9/11,395
INYO,CENTER,3/18/11,3/23/11,850
MONTEREY,METZ,5/12/11,5/14/11,832
MONTEREY,CATTLEMAN,5/29/11,5/30/11,382
KERN,IKEA,6/12/11,6/12/11,640
KERN,ANTELOPE,6/19/11,6/21/11,5200
KERN,QUINN,6/21/11,6/22/11,3154
STANISLAUS,EASTMAN,6/24/11,6/24/11,330
San Luis OBISPO,HIGHWAY,6/24/11,6/24/11,387
MERCED,REST,6/26/11,6/27/11,575
TULARE,STAGE,6/27/11,7/02/11,1213
HUMBOLDT,SPANISH,7/01/11,7/04/11,498
SAN JOAQUIN,CHRISMAN,7/05/11,07/06/11,400
ORANGE,CARBON CANYON,7/07/11,7/08/11,508
TULARE,GRANITE,7/09/11,7/12/11,780
YUBA,KRISTA,7/09/11,7/10/11,360
ALAMEDA,FLYNN,7/14/11,7/14/11,500
ALAMEDA,FLYNN,7/21/11,7/22/11,545
SAN DIEGO,EAGLE,7/21/11,7/29/11,14100
MERCED,ROMERO,7/23/11,7/23/11,489
MENDOCINO,PASS,8/03/11,8/07/11,616
RIVERSIDE,GILMAN,8/06/11,8/07/11,945
NAPA,KNOXVILLE,8/13/11,8/15/11,506
SOLANO,BEACON,8/27/11,8/30/11,715
LOS ANGELES,OASIS,8/27/11,8/29/11,375
RIVERSIDE,KELLER,8/29/11,8/31/11,450
San BERNARDINO,HILL,9/02/11,9/08/11,1153
San Luis OBISPO,SODA,9/03/11,9/04/11,1528
TULARE,ROADRUNNER,9/04/11,9/05/11,335
KERN,CANYON,9/04/11,9/11/11,14585
SAN JOAQUIN,MILTON,9/09/11,9/11/11,1122
KERN,KEENE COMPLEX,9/10/11,9/14/11,10470
KERN,COMANCHE  COMPLEX,9/10/11,9/17/11,29338
KERN,BRECKENRIDGE COMPLEX,9/10/11,9/17/11,25213
TULARE,TENNESSEE,9/11/11,9/12/11,380
INYO,JOHN,9/13/11,9/16/11,5300
TULARE,TUU SEPT LIGHTNING,9/23/11,9/24/11,350
KERN,OLD FIRE,9/23/11,9/24/11,410
KERN,65 FIRE,9/23/11,9/24/11,2005
SAN DIEGO,GREAT,10/01/11,10/07/11,2135
CALAVERAS,BLUE,12/01/11,12/06/11,698
