counties,name,start,contained,acres,type,cause,DEST. or DAM,deathFire,deathCivil,
Tulare,Elk,8/14/08,8/15/08,600,Grass,Arson,0,0,0,
Tulare,Rodeo,8/14/08,8/14/08,500,Grass,Unidentified,0,0,0,
Tulare,Rodeo 2,8/14/08,8/15/08,500,Grass,Unidentified,0,0,0,
Fresno-Kings,Avenal,8/19/08,8/20/08,946,Grass,Unidentified,0,0,0,
Nevada-Yuba-Placer,Gladding,9/1/08,9/3/08,"1,000",Grass,Structure,16,0,0,
Sonoma-Lake-Napa,Deer Park,10/10/08,10/14/08,300,"Timber, Brush",Equipment Use,2,0,0,
San Bernardino,Foxborough,10/22/08,10/22/08,324,"Brush, Grass",Incendiary,0,0,0,
Butte,Lackerman,10/23/08,10/23/08,"1,310",Timber,Lightning,0,0,0,
Butte,Long,10/23/08,10/23/08,420,Timber,Lightning,0,0,0,
Riverside,Freeway,11/15/08,11/22/08,"30,305",Grass,Structure,245,0,0,
