county,name,start,contained,acres
San Bernardino,Fort,02/05/09,02/07/09,945
Stanislaus,Mustang,05/13/09,05/16/09,570
Riverside,Oliver,05/27/09,05/27/09,500
Tulare,TUU Lightning Complex,05/28/09,05/31/09,495
San Joaquin,Explosive,06/19/09,06/19/09,"2,163"
Calaveras,Rock,06/28/09,06/28/09,410
Yolo,Rumsey,06/29/09,07/02/09,716
Placer,Mammoth,07/16/09,07/18/09,650
Madera,Ash,07/27/09,07/29/09,300
Shasta,Chalk (SHU Complex),08/03/09,08/16/09,"6,895"
Shasta,One-Eleven (SHU Complex),08/03/09,08/17/09,50
Shasta,Goose (SHU Complex),08/03/09,08/17/09,"3,918"
Shasta,Gomez (SHU Complex),08/03/09,08/17/09,404
Shasta,Cassel (SHU Complex),08/03/09,08/14/09,"6,319"
Santa Cruz,Lockheed,08/12/09,08/23/09,"7,817"
Trinity,Coffin,08/12/09,08/15/09,"1,300"
San Joaquin,Corral,08/13/09,08/16/09,"12,200"
Yuba,Yuba,08/14/09,08/24/09,"3,891"
Monterey,Bryson,08/26/09,08/29/09,"3,383"
Monterey,Gloria,08/27/09,09/01/09,"6,437"
Lassen,Day,08/27/09,08/30/09,853
Santa Clara,Pacheco,08/29/09,08/30/09,"1,600"
San Bernardino,Oak Glen III,08/30/09,09/08/09,"1,159"
Placer,Forty Nine,08/30/09,09/01/09,311
Lake,Oasis,09/07/09,09/12/09,"1,500"
Riverside,Vail,09/19/09,09/20/09,398
Santa Cruz,Loma,10/25/09,10/27/09,485
San Luis Obispo,Hernrick VMP,11/14/09,11/14/09,600
SANTA BARBARA,JESUSITA,05/05/09,05/20/09,"8,733"
RIVERSIDE,LOST HORSE,05/24/09,06/02/09,450
MARIPOSA,GROUSE,05/30/09,08/12/09,"3,007"
TUOLUMNE,HARDEN,06/08/09,08/09/09,"1,654"
TULARE,SHOTGUN,06/17/09,07/11/09,900
TULARE,LION,06/30/09,08/21/09,"2,577"
TULARE,GRANITE,06/30/09,08/21/09,"1,417"
TRINITY/HUMBOLDT,REDSPOT,07/01/09,07/24/09,"1,120"
TRINITY/HUMBOLDT,BACKBONE,07/07/09,07/24/09,"5,065"
SAN DIEGO,YANKEE,07/11/09,07/14/09,"2,200"
VENTURA,SULPHUR,07/11/09,07/13/09,343
LOS ANGELES,OSITO,07/13/09,07/15/09,304
INYO,FORK,07/18/09,07/27/09,"3,268"
SISKIYOU,TENNANT,07/19/09,07/27/09,"3,226"
TUOLUMNE,KNIGHT,07/26/09,08/11/09,"6,130"
TUOLUMNE,WILDCAT,07/29/09,08/31/09,"1,255"
LASSEN,DODGE COMPLEX(SIX FIRES),08/01/09,08/03/09,"1,600"
MONTEREY,PONDEROSA,08/01/09,08/07/09,458
SHASTA,SUGAR LOAF,08/01/09,08/12/09,"9,356"
SHASTA,BROWN (H-31),08/02/09,08/12/09,"1,865"
SHASTA,FAIRFIELD,08/03/09,09/30/09,"1,664"
SANTA BARBARA,LA BREA,08/08/09,08/23/09,"91,622"
PLUMAS,ELEPHANT,08/16/09,08/31/09,445
SISKIYOU,RED ROCK,08/21/09,09/05/09,"1,364"
LOS ANGELES,MORRIS,08/25/09,09/03/09,"2,163"
LOS ANGELES,STATION,08/26/09,10/16/09,"160,577"
MARIPOSA,BIG MEADOWS,08/26/09,09/07/09,"7,425"
SAN DIEGO,RIDGE,08/26/09,08/29/09,500
RIVERSIDE,COTTONWOOD,08/27/09,08/31/09,"2,409"
SAN BERNARDINO,PENDLETON,08/31/09,09/04/09,860
PLUMAS,SILVER,09/19/09,09/21/09,307
VENTURA,GUIBERSON,09/22/09,10/01/09,
SAN BERNARDINO,CRAFTON,09/23/09,09/26/09,347
VANDENBURG AFB,HIGHWAY,10/01/09,10/03/09,617
YOLO,SIX (NOT IN NFIRS),10/01/09,10/01/09,"1,235"
SAN BERNARDINO,SHEEP,10/03/09,10/10/09,"7,128"
HUMBOLDT,MILL CREEK #4,10/07/09,10/17/09,"3,800"
GLENN,DOE,11/28/09,11/29/09,550
